TRADE_DATE,SEC_CODE,SYMBOL1,MARKET,VOLUME,TRADE_QTY,NO_OF_TRADES,LOW,BEST_ASK_PRICE,BEST_ASK_QTY,BEST_BID_PRICE,BEST_BID_QTY
01/02/2022,111001,JOIB,1,199083.73,54378,73,3.65,2.65,585.0,3.13,2000.0
01/02/2022,111002,JOKB,1,12707.76,9009,17,1.41,1.36,493.0,1.86,1570.0
01/02/2022,111003,JCBK,2,727.41,726,7,1.0,1.14,1853.0,1.64,1000.0
01/02/2022,111004,THBK,1,1558.1,394,5,3.95,1.09,660.0,1.59,46.0
01/02/2022,111006,SIBK,1,29030.98,14867,11,1.95,1.23,1000.0,1.73,333.0
01/02/2022,111007,UBSI,1,1597.2,889,6,1.79,1.11,400.0,1.61,500.0
01/02/2022,111009,ABCO,1,1859.54,2021,10,0.92,1.2,424.0,1.7,4277.0
01/02/2022,111014,INVB,1,2149.98,1463,4,1.46,1.07,600.0,1.57,1452.0
01/02/2022,111017,CAPL,1,62400.01,28514,39,2.17,1.87,3099.0,2.36,1500.0
01/02/2022,111021,CABK,1,72387.18,48582,31,1.49,1.69,7653.0,2.18,13050.0
01/02/2022,111022,BOJX,1,91691.42,39342,41,2.27,1.92,3600.0,2.41,4121.0
01/02/2022,111027,BAMB,0,3386.0,12540,11,0.27,1.23,12135.0,1.73,2192.0
01/02/2022,111033,AHLI,1,165577.19,167299,71,0.98,2.61,4999.0,3.09,54832.0
01/02/2022,113023,ARBK,1,282458.16,58986,97,4.77,3.21,288.0,3.68,13824.0
01/02/2022,121002,MEIN,1,100883.3,77010,2,1.31,1.02,515.0,1.52,1000.0
01/02/2022,121004,JOIN,1,1826.55,1107,3,1.65,1.05,850.0,1.55,200.0
01/02/2022,121007,JERY,1,6580.0,3500,2,1.88,1.02,50.0,1.52,50.0
01/02/2022,121020,AIUI,2,9367.22,6605,13,1.39,1.27,250.0,1.77,500.0
01/02/2022,121025,TIIC,1,2114.65,1435,4,1.47,1.07,565.0,1.57,4085.0
01/02/2022,121026,ARAS,2,1396.8,7760,10,0.18,1.2,1800.0,1.7,259650.0
01/02/2022,131002,ABMS,2,996.78,1347,1,0.74,1.0,95.0,1.5,100.0
01/02/2022,131003,JOHT,2,1050.0,500,1,2.1,1.0,650.0,1.5,500.0
01/02/2022,131004,JOEP,1,361276.94,306392,97,1.17,3.21,72267.0,3.68,185938.0
01/02/2022,131010,IREL,1,1883.85,191,2,9.85,1.02,150.0,1.52,200.0
01/02/2022,131011,VFED,2,308.05,151,3,1.99,1.05,100.0,1.55,100.0
01/02/2022,131017,JDPC,2,59577.36,129516,72,0.46,2.63,14300.0,3.11,67556.0
01/02/2022,131018,MHFZ,2,678.58,917,2,0.74,1.02,1942.0,1.52,583.0
01/02/2022,131019,TAJM,2,5584.0,15500,5,0.36,1.09,48165.0,1.59,4455.0
01/02/2022,131022,JDFS,1,810.61,103,3,7.87,1.05,26.0,1.55,25.0
01/02/2022,131023,JITC,2,19.55,17,1,1.15,1.0,16250.0,1.5,200.0
01/02/2022,131025,JEIH,2,305.0,500,2,0.61,1.02,2960.0,1.52,2000.0
01/02/2022,131051,ZEIC,1,36460.0,16750,14,2.15,1.29,3500.0,1.79,2000.0
01/02/2022,131052,AIEI,1,2559.91,911,2,2.81,1.02,700.0,1.52,89.0
01/02/2022,131064,ABLA,0,81.8,1020,2,0.08,1.02,369800.0,1.52,48431.0
01/02/2022,131069,UINV,2,187142.7,177039,112,1.04,3.55,15449.0,4.02,3591.0
01/02/2022,131073,ULDC,2,104250.54,65210,81,1.58,2.83,580.0,3.31,2631.0
01/02/2022,131076,JNTH,2,111952.57,213702,115,0.52,3.61,7024.0,4.08,10060.0
01/02/2022,131077,SPIC,1,33815.32,28958,49,1.16,2.1,7975.0,2.59,450.0
01/02/2022,131081,SPTI,2,896.0,800,3,1.12,1.05,500.0,1.55,500.0
01/02/2022,131082,AEIV,2,30286.47,51500,28,0.58,1.62,25147.0,2.11,2000.0
01/02/2022,131087,REDV,2,4375.1,6530,12,0.67,1.25,5470.0,1.75,6000.0
01/02/2022,131090,UCFI,2,570.0,600,2,0.95,1.02,750.0,1.52,1300.0
01/02/2022,131092,ARED,0,303.8,10120,2,0.03,1.02,231319.0,1.52,675416.0
01/02/2022,131206,JTEL,1,16832.7,7925,16,2.12,1.34,156.0,1.84,1461.0
01/02/2022,131208,NAQL,2,2260.58,10264,8,0.22,1.16,73890.0,1.66,7300.0
01/02/2022,131213,RJAL,0,149.5,650,2,0.23,1.02,350.0,1.52,43500.0
01/02/2022,131217,IPRO,0,12694.0,126928,57,0.1,2.29,10.0,2.77,631070.0
01/02/2022,131218,REAL,2,1305.64,1282,6,1.01,1.11,2400.0,1.61,1750.0
01/02/2022,131220,AIFE,1,89.37,27,1,3.31,1.0,200.0,1.5,830.0
01/02/2022,131221,PEDC,1,13633.0,3300,6,4.1,1.11,500.0,1.61,1000.0
01/02/2022,131222,PIEC,1,902.07,627,2,1.41,1.02,50.0,1.52,1823.0
01/02/2022,131224,IBFM,2,48309.0,89170,66,0.53,2.49,8850.0,2.97,21020.0
01/02/2022,131225,INMA,0,166.07,415,3,0.4,1.05,2983.0,1.55,8854.0
01/02/2022,131226,INVH,0,9054.9,32530,21,0.27,1.46,2300.0,1.95,9750.0
01/02/2022,131227,AMWL,0,6270.6,57005,6,0.11,1.11,211050.0,1.61,7770.0
01/02/2022,131228,OFTC,2,577.0,1850,6,0.31,1.11,24625.0,1.61,28542.0
01/02/2022,131229,JRCD,2,32203.56,53236,60,0.59,2.36,7000.0,2.84,9085.0
01/02/2022,131230,SECO,0,1200.0,2000,1,0.6,1.0,2142.0,1.5,3184.0
01/02/2022,131231,AMAL,2,18515.9,19490,4,0.95,1.07,2440.0,1.57,2545.0
01/02/2022,131234,AMAD,2,1220.0,1650,7,0.73,1.14,2400.0,1.64,355.0
01/02/2022,131235,WIVA,2,103098.5,174760,8,0.58,1.16,3970.0,1.66,1000.0
01/02/2022,131236,IHCO,2,33690.26,71483,60,0.45,2.36,6505.0,2.84,16200.0
01/02/2022,131237,EMAR,2,803.59,5753,4,0.13,1.07,19430.0,1.57,67067.0
01/02/2022,131239,PHNX,2,10636.76,62568,20,0.17,1.44,348579.0,1.93,24600.0
01/02/2022,131241,COHO,2,3290.3,4250,11,0.77,1.23,107.0,1.73,6715.0
01/02/2022,131243,MSFT,2,963.15,2205,9,0.43,1.18,14246.0,1.68,755.0
01/02/2022,131245,NCMD,2,469.8,174,3,2.7,1.05,50.0,1.55,863.0
01/02/2022,131246,HIPR,2,191690.0,364500,76,0.52,2.72,12507.0,3.2,5500.0
01/02/2022,131247,UNAI,2,40740.34,52046,37,0.76,1.83,1900.0,2.32,4555.0
01/02/2022,131255,DERA,2,11704.75,17008,41,0.68,1.92,6239.0,2.41,4110.0
01/02/2022,131256,ABUS,2,96091.07,113345,150,0.82,4.42,2086.0,4.88,320.0
01/02/2022,131258,FUTR,2,5398.36,22514,17,0.23,1.36,3896.0,1.86,3500.0
01/02/2022,131260,SALM,2,232.0,200,2,1.16,1.02,1050.0,1.52,142.0
01/02/2022,131261,RICS,2,2242.53,7008,8,0.31,1.16,5595.0,1.66,2500.0
01/02/2022,131262,RUMM,2,30397.22,86847,51,0.35,2.14,135210.0,2.63,78815.0
01/02/2022,131263,CARD,2,350.0,5000,2,0.07,1.02,2370.0,1.52,176500.0
01/02/2022,131265,THDI,2,29582.1,12865,15,2.25,1.32,164.0,1.82,150.0
01/02/2022,131267,KAFA,2,228.0,400,2,0.57,1.02,4650.0,1.52,500.0
01/02/2022,131268,THMA,2,5549.25,11325,16,0.49,1.34,2920.0,1.84,39200.0
01/02/2022,131269,FRST,2,423.78,2018,4,0.21,1.07,29139.0,1.57,19596.0
01/02/2022,131270,PROF,2,20972.58,43271,12,0.48,1.25,32389.0,1.75,8979.0
01/02/2022,131271,JEDI,2,5935.47,6310,25,0.92,1.55,400.0,2.04,2223.0
01/02/2022,131272,FOOD,0,0.44,11,2,0.04,1.02,4255.0,1.52,10572.0
01/02/2022,131274,DARA,2,9074.0,16200,16,0.56,1.34,1400.0,1.84,24643.0
01/02/2022,131278,SHRA,2,372711.02,402392,67,0.91,2.52,2600.0,3.0,37520.0
01/02/2022,131281,AMWJ,2,276.0,2200,5,0.12,1.09,22200.0,1.59,78575.0
01/02/2022,131282,DAIF,2,3118.16,11708,13,0.26,1.27,35867.0,1.77,29489.0
01/02/2022,131283,SURA,2,69186.0,133050,3,0.52,1.05,3672.0,1.55,10330.0
01/02/2022,131286,MANE,1,26103.81,15168,35,1.72,1.78,518.0,2.27,3575.0
01/02/2022,141002,JPPC,2,107809.14,34993,16,3.07,1.34,331.0,1.84,300.0
01/02/2022,141003,APCT,2,46471.96,24580,50,1.87,2.12,2125.0,2.61,24.0
01/02/2022,141009,ICAG,2,867.0,850,6,1.02,1.11,1630.0,1.61,977.0
01/02/2022,141012,DADI,2,278.54,236,4,1.18,1.07,548.0,1.57,470.0
01/02/2022,141015,JOCF,0,56.6,50,2,1.13,1.02,240.0,1.52,10.0
01/02/2022,141018,JOPH,1,137132.37,7815,92,17.45,3.09,150.0,3.56,164.0
01/02/2022,141019,JOPI,2,12023.33,16968,26,0.7,1.58,2465.0,2.07,1350.0
01/02/2022,141036,ATTA,2,6272.75,4165,19,1.47,1.42,651.0,1.91,295.0
01/02/2022,141039,WIRE,2,547.58,2539,8,0.21,1.16,69271.0,1.66,11277.0
01/02/2022,141042,JOCM,0,3233.96,6602,17,0.46,1.36,1000.0,1.86,160.0
01/02/2022,141043,APOT,1,4540.75,170,5,26.6,1.09,200.0,1.59,60.0
01/02/2022,141055,JOIR,2,17108.42,35213,32,0.48,1.71,2112.0,2.2,90.0
01/02/2022,141058,ATCO,2,537138.27,345724,130,1.52,3.96,1541.0,4.42,11.0
01/02/2022,141065,RMCC,2,11845.91,28250,20,0.41,1.44,5350.0,1.93,1653.0
01/02/2022,141070,JOST,2,3180.41,10949,15,0.29,1.32,11510.0,1.82,20973.0
01/02/2022,141072,AEIN,0,715.8,4210,8,0.17,1.16,10492.0,1.66,25325.0
01/02/2022,141074,UTOB,2,74133.35,97534,76,0.76,2.72,8637.0,3.2,6000.0
01/02/2022,141086,INOH,0,150242.51,54610,13,2.72,1.27,392.0,1.77,264.0
01/02/2022,141091,NATA,2,103070.75,93953,99,1.08,3.25,18145.0,3.72,34130.0
01/02/2022,141094,NDAR,2,3654.86,1561,13,2.34,1.27,1.0,1.77,0.0
01/02/2022,141097,MECE,0,84677.96,169456,84,0.49,2.9,38600.0,3.38,10010.0
01/02/2022,141106,IDMC,1,29163.2,47310,43,0.61,1.96,2000.0,2.45,27600.0
01/02/2022,141204,JPHM,0,11608.02,28550,18,0.4,1.4,9049.0,1.89,14500.0
01/02/2022,141208,AQRM,2,27887.19,40261,62,0.68,2.4,6318.0,2.88,4525.0
01/02/2022,141209,MBED,1,4149.2,1804,8,2.3,1.16,1450.0,1.66,100.0
01/02/2022,141213,CJCC,0,325.0,1120,2,0.29,1.02,980.0,1.52,615.0
01/02/2022,141215,UCIC,2,88282.26,193764,88,0.45,3.0,18377.0,3.47,95910.0
01/02/2022,141216,SHLE,0,6560.41,11465,22,0.53,1.49,500.0,1.98,1000.0
01/02/2022,142041,JOPT,1,324721.1,90860,141,3.55,4.21,15181.0,4.67,7887.0
01/03/2022,111001,JOIB,1,103245.46,28173,36,3.66,1.8,271.0,2.29,593.0
01/03/2022,111002,JOKB,1,9604.22,7019,16,1.36,1.34,385.0,1.84,100.0
01/03/2022,111003,JCBK,2,17564.53,18315,34,0.95,1.76,7.0,2.25,0.0
